"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500028","463","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","3","15","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-102","11","1","1","20151030","SAS","BKN"
"Shot Chart Detail","0021500028","466","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","2","30","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-11","7","1","0","20151030","SAS","BKN"
"Shot Chart Detail","0021500028","468","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","2","29","Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","8","1","1","20151030","SAS","BKN"
"Shot Chart Detail","0021500028","483","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","1","38","Missed Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","8","1","0","20151030","SAS","BKN"
"Shot Chart Detail","0021500028","491","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","0","38","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-119","146","1","0","20151030","SAS","BKN"
"Shot Chart Detail","0021500090","481","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","3","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-79","36","1","0","20151107","SAS","CHA"
"Shot Chart Detail","0021500090","483","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","2","46","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","1","41","1","1","20151107","SAS","CHA"
"Shot Chart Detail","0021500103","485","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","2","21","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","89","21","1","0","20151109","SAC","SAS"
"Shot Chart Detail","0021500103","488","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","1","51","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","1","1","1","20151109","SAC","SAS"
"Shot Chart Detail","0021500182","544","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","1","58","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","135","8","1","1","20151120","NOP","SAS"
"Shot Chart Detail","0021500207","131","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","2","10","56","Made Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","7","1","1","20151123","SAS","PHX"
"Shot Chart Detail","0021500242","445","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","5","52","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-7","46","1","0","20151128","SAS","ATL"
"Shot Chart Detail","0021500242","459","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","4","7","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-40","26","1","0","20151128","SAS","ATL"
"Shot Chart Detail","0021500280","468","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","4","2","44","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","104","2","1","0","20151203","MEM","SAS"
"Shot Chart Detail","0021500305","321","1626246","Boban Marjanovic","1610612759","San Antonio Spurs","3","4","3","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-68","80","1","1","20151207","PHI","SAS"
