"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021400055","478","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","22","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","4","1","0","20141104","POR","CLE"
"Shot Chart Detail","0021400055","502","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","13","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","10","14","1","1","20141104","POR","CLE"
"Shot Chart Detail","0021400081","255","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","2","22","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-18","14","1","0","20141107","DEN","CLE"
"Shot Chart Detail","0021400098","181","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","5","33","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-240","56","1","1","20141110","CLE","NOP"
"Shot Chart Detail","0021400098","244","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","0","50","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-237","9","1","0","20141110","CLE","NOP"
"Shot Chart Detail","0021400098","261","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","0","0","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-13","9","1","1","20141110","CLE","NOP"
"Shot Chart Detail","0021400098","365","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","2","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","138","110","1","0","20141110","CLE","NOP"
"Shot Chart Detail","0021400098","374","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","1","11","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-239","-2","1","0","20141110","CLE","NOP"
"Shot Chart Detail","0021400098","401","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-220","132","1","0","20141110","CLE","NOP"
"Shot Chart Detail","0021400125","186","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","8","18","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","1","1","0","20141114","BOS","CLE"
"Shot Chart Detail","0021400125","522","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","17","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-224","-6","1","1","20141114","BOS","CLE"
"Shot Chart Detail","0021400133","72","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","2","49","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","218","115","1","1","20141115","CLE","ATL"
"Shot Chart Detail","0021400133","104","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","0","0","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-84","238","1","1","20141115","CLE","ATL"
"Shot Chart Detail","0021400133","403","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","11","17","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","59","41","1","0","20141115","CLE","ATL"
"Shot Chart Detail","0021400133","441","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","8","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","159","205","1","1","20141115","CLE","ATL"
"Shot Chart Detail","0021400133","444","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","7","35","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","215","143","1","1","20141115","CLE","ATL"
"Shot Chart Detail","0021400133","478","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","4","31","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-174","184","1","0","20141115","CLE","ATL"
"Shot Chart Detail","0021400147","81","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","3","48","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","0","1","0","20141117","CLE","DEN"
"Shot Chart Detail","0021400147","118","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","0","47","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","239","0","1","1","20141117","CLE","DEN"
"Shot Chart Detail","0021400147","420","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","8","51","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","-6","1","0","20141117","CLE","DEN"
"Shot Chart Detail","0021400147","436","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","7","19","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","230","-2","1","0","20141117","CLE","DEN"
"Shot Chart Detail","0021400147","481","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","28","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","230","88","1","0","20141117","CLE","DEN"
"Shot Chart Detail","0021400159","102","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","0","10","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","4","1","1","20141119","CLE","SAS"
"Shot Chart Detail","0021400159","155","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","7","58","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","1","1","1","1","20141119","CLE","SAS"
"Shot Chart Detail","0021400159","161","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","7","38","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-215","126","1","0","20141119","CLE","SAS"
"Shot Chart Detail","0021400159","485","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","0","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-10","71","1","0","20141119","CLE","SAS"
"Shot Chart Detail","0021400159","492","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","6","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-246","42","1","0","20141119","CLE","SAS"
"Shot Chart Detail","0021400179","65","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","5","18","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-234","7","1","0","20141121","WAS","CLE"
"Shot Chart Detail","0021400179","502","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-127","228","1","0","20141121","WAS","CLE"
"Shot Chart Detail","0021400186","162","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","11","8","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","11","1","0","20141122","CLE","TOR"
"Shot Chart Detail","0021400186","215","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","7","53","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-141","206","1","0","20141122","CLE","TOR"
"Shot Chart Detail","0021400186","581","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","4","9","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","19","64","179","1","0","20141122","CLE","TOR"
"Shot Chart Detail","0021400199","410","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","10","55","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","20","1","0","20141124","CLE","ORL"
"Shot Chart Detail","0021400199","430","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","9","18","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","234","-16","1","0","20141124","CLE","ORL"
"Shot Chart Detail","0021400211","394","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","2","30","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","146","220","1","0","20141126","CLE","WAS"
"Shot Chart Detail","0021400211","549","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","51","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-2","3","1","1","20141126","CLE","WAS"
"Shot Chart Detail","0021400238","436","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","10","54","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","130","214","1","1","20141129","CLE","IND"
"Shot Chart Detail","0021400238","544","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","49","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-2","14","1","1","20141129","CLE","IND"
"Shot Chart Detail","0021400273","157","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","7","30","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","19","51","186","1","1","20141204","NYK","CLE"
"Shot Chart Detail","0021400303","463","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","4","30","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-239","-22","1","0","20141208","BKN","CLE"
"Shot Chart Detail","0021400303","484","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","48","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-226","63","1","1","20141208","BKN","CLE"
"Shot Chart Detail","0021400326","495","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","5","55","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","1","15","1","0","20141211","OKC","CLE"
"Shot Chart Detail","0021400336","417","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","10","20","Missed Shot","Jump Bank Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","8","86","19","1","0","20141212","NOP","CLE"
"Shot Chart Detail","0021400336","430","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","8","56","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","25","1","1","20141212","NOP","CLE"
"Shot Chart Detail","0021400336","455","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","5","38","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","12","1","1","20141212","NOP","CLE"
"Shot Chart Detail","0021400336","512","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","23","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","237","3","1","0","20141212","NOP","CLE"
"Shot Chart Detail","0021400355","169","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","6","14","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","217","127","1","0","20141215","CLE","CHA"
"Shot Chart Detail","0021400355","171","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","6","7","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","225","45","1","1","20141215","CLE","CHA"
"Shot Chart Detail","0021400370","409","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","5","59","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","36","1","1","20141217","CLE","ATL"
"Shot Chart Detail","0021400370","440","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","177","181","1","0","20141217","CLE","ATL"
"Shot Chart Detail","0021400416","585","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","37","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","242","-14","1","1","20141223","CLE","MIN"
"Shot Chart Detail","0021400453","471","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","17","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","192","172","1","0","20141228","CLE","DET"
"Shot Chart Detail","0021400466","73","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","4","8","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","234","74","1","1","20141230","ATL","CLE"
"Shot Chart Detail","0021400466","94","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","2","10","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-224","50","1","0","20141230","ATL","CLE"
"Shot Chart Detail","0021400466","112","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","0","58","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-112","77","1","0","20141230","ATL","CLE"
"Shot Chart Detail","0021400466","159","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","9","10","Made Shot","Driving Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","28","19","1","1","20141230","ATL","CLE"
"Shot Chart Detail","0021400466","363","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","3","9","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-229","9","1","1","20141230","ATL","CLE"
"Shot Chart Detail","0021400466","447","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","8","9","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","-14","1","1","20141230","ATL","CLE"
"Shot Chart Detail","0021400466","510","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","53","Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","9","1","0","20141230","ATL","CLE"
"Shot Chart Detail","0021400479","59","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","5","41","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-235","1","1","0","20141231","CLE","MIL"
"Shot Chart Detail","0021400479","77","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","3","42","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","24","-242","26","1","0","20141231","CLE","MIL"
"Shot Chart Detail","0021400479","332","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","2","40","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","226","17","1","0","20141231","CLE","MIL"
"Shot Chart Detail","0021400479","354","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","1","1","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","165","187","1","0","20141231","CLE","MIL"
"Shot Chart Detail","0021400479","477","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","17","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.","18","184","4","1","1","20141231","CLE","MIL"
"Shot Chart Detail","0021400503","299","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","5","45","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","10","19","1","0","20150104","CLE","DAL"
"Shot Chart Detail","0021400503","319","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","3","59","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-218","119","1","0","20150104","CLE","DAL"
"Shot Chart Detail","0021400503","334","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","2","50","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","184","173","1","0","20150104","CLE","DAL"
"Shot Chart Detail","0021400509","18","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","9","38","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","24","241","6","1","0","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","24","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","8","53","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-204","178","1","1","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","139","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","9","18","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-125","213","1","1","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","148","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","7","41","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-4","17","1","0","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","182","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","4","46","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","207","157","1","0","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","285","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","7","30","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-155","198","1","1","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","323","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","3","55","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","-17","1","0","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","388","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","10","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","-13","154","1","1","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","396","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","9","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","6","15","1","1","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","411","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","8","0","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","1","1","1","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","416","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","7","29","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-11","20","1","0","20150105","PHI","CLE"
"Shot Chart Detail","0021400509","423","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","6","42","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","-14","1","0","20150105","PHI","CLE"
"Shot Chart Detail","0021400523","112","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","1","37","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-231","44","1","1","20150107","CLE","HOU"
"Shot Chart Detail","0021400523","421","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","11","3","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","26","-23","263","1","0","20150107","CLE","HOU"
"Shot Chart Detail","0021400547","111","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","1","35","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-8","12","1","0","20150109","GSW","CLE"
"Shot Chart Detail","0021400561","147","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","6","46","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","222","94","1","1","20150111","SAC","CLE"
"Shot Chart Detail","0021400561","299","203925","Joe Harris","1610612739","Cleveland Cavaliers","3","3","29","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","233","12","1","0","20150111","SAC","CLE"
"Shot Chart Detail","0021400561","430","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","49","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-188","168","1","0","20150111","SAC","CLE"
"Shot Chart Detail","0021400561","450","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-114","222","1","0","20150111","SAC","CLE"
"Shot Chart Detail","0021400643","467","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","6","14","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-8","1","1","1","20150123","CLE","CHA"
"Shot Chart Detail","0021400643","520","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","18","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","86","239","1","0","20150123","CLE","CHA"
"Shot Chart Detail","0021400766","505","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","8","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","127","214","1","1","20150208","CLE","LAL"
"Shot Chart Detail","0021400796","545","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","29","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","187","165","1","1","20150211","CLE","MIA"
"Shot Chart Detail","0021400809","534","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","43","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.","19","-161","101","1","0","20150220","WAS","CLE"
"Shot Chart Detail","0021400809","538","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","10","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","19","-67","183","1","1","20150220","WAS","CLE"
"Shot Chart Detail","0021400821","421","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","5","52","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-229","-6","1","0","20150222","NYK","CLE"
"Shot Chart Detail","0021400821","449","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","47","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","-19","1","1","20150222","NYK","CLE"
"Shot Chart Detail","0021400854","575","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","8","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","22","228","7","1","0","20150226","CLE","GSW"
"Shot Chart Detail","0021400891","400","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","10","58","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-146","205","1","1","20150303","CLE","BOS"
"Shot Chart Detail","0021400891","430","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","7","32","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-196","167","1","0","20150303","CLE","BOS"
"Shot Chart Detail","0021400891","470","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","3","48","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","17","58","162","1","0","20150303","CLE","BOS"
"Shot Chart Detail","0021400891","504","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","21","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-6","1","0","20150303","CLE","BOS"
"Shot Chart Detail","0021400891","506","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","1","16","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-194","157","1","1","20150303","CLE","BOS"
"Shot Chart Detail","0021400948","544","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","4","25","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-221","25","1","0","20150310","DAL","CLE"
"Shot Chart Detail","0021400948","560","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","45","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","17","1","0","20150310","DAL","CLE"
"Shot Chart Detail","0021400948","589","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","0","35","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","48","33","1","0","20150310","DAL","CLE"
"Shot Chart Detail","0021401124","531","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","2","23","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-163","222","1","0","20150402","CLE","MIA"
"Shot Chart Detail","0021401178","213","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","3","22","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","165","198","1","0","20150410","CLE","BOS"
"Shot Chart Detail","0021401178","427","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","10","55","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-232","-16","1","1","20150410","CLE","BOS"
"Shot Chart Detail","0021401178","440","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","9","36","Made Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-4","47","1","1","20150410","CLE","BOS"
"Shot Chart Detail","0021401194","56","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","5","58","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","146","42","1","1","20150412","BOS","CLE"
"Shot Chart Detail","0021401194","70","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","3","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-29","12","1","0","20150412","BOS","CLE"
"Shot Chart Detail","0021401194","80","203925","Joe Harris","1610612739","Cleveland Cavaliers","1","3","7","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","2","0","1","1","20150412","BOS","CLE"
"Shot Chart Detail","0021401194","274","203925","Joe Harris","1610612739","Cleveland Cavaliers","2","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","170","211","1","0","20150412","BOS","CLE"
"Shot Chart Detail","0021401194","410","203925","Joe Harris","1610612739","Cleveland Cavaliers","4","11","48","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","231","25","1","0","20150412","BOS","CLE"
