"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0020000012","228","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","11","42","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","POR","LAL"
"Shot Chart Detail","0020000012","246","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","9","28","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","POR","LAL"
"Shot Chart Detail","0020000012","263","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","6","26","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","1","68","1","0","20001031","POR","LAL"
"Shot Chart Detail","0020000012","299","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","3","11","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-86","-11","1","0","20001031","POR","LAL"
"Shot Chart Detail","0020000012","304","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","2","53","Made Shot","Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-27","28","1","1","20001031","POR","LAL"
"Shot Chart Detail","0020000012","323","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","0","54","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-107","0","1","0","20001031","POR","LAL"
"Shot Chart Detail","0020000012","368","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","7","36","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001031","POR","LAL"
"Shot Chart Detail","0020000012","380","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","6","18","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","58","0","1","0","20001031","POR","LAL"
"Shot Chart Detail","0020000012","406","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","2","42","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-79","-15","1","1","20001031","POR","LAL"
"Shot Chart Detail","0020000019","2","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","11","39","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-16","173","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","9","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","10","17","Made Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","11","93","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","58","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","3","16","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","24","47","1","0","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","77","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","1","57","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","82","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","1","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","108","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","11","15","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","135","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","9","25","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","56","17","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","146","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","7","45","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-103","17","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","215","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","1","40","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","218","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","1","7","Made Shot","Hook Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","91","11","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","247","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","10","54","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","260","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","9","38","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","10","70","76","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","271","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","8","37","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","284","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","6","51","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-88","11","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","311","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","4","33","Made Shot","Running Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","11","57","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","323","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","3","28","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","13","-132","-11","1","0","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","386","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","9","59","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","10","-103","-11","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","423","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","6","38","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","32","80","1","0","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","438","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","5","9","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-1","40","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000019","462","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","3","17","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001101","LAL","UTA"
"Shot Chart Detail","0020000047","19","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","9","25","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","43","19","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","35","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","6","27","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-69","9","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","77","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","1","9","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-42","30","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","133","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","7","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-84","19","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","146","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","6","57","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","7","0","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","167","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","5","27","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","9","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","180","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","4","15","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","9","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","216","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","10","48","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-42","9","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","246","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","6","58","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","49","26","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","250","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","6","27","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-4","0","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","270","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","5","30","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","58","26","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","272","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","5","17","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-69","55","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","275","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","4","47","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","1","59","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","283","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","4","12","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","22","59","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","286","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","3","46","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-33","55","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","312","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","1","54","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","1","55","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","326","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","0","24","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","15","150","19","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","329","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","37","70","369","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","365","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","8","10","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-12","66","1","0","20001104","VAN","LAL"
"Shot Chart Detail","0020000047","400","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","4","15","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","64","0","1","1","20001104","VAN","LAL"
"Shot Chart Detail","0020000049","4","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","11","2","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","9","-88","28","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","20","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","9","5","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-73","57","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","29","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","8","2","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-31","51","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","31","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","7","57","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","39","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","7","19","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","1","85","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","73","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","3","6","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-25","95","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","90","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","1","9","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","11","96","68","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","97","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","0","1","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","115","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","10","10","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","125","9","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","209","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","2","39","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","9","-4","95","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","222","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","0","57","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","249","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","11","17","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-54","78","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","255","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","10","47","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","9","89","32","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","258","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","10","22","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","284","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","7","30","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-84","9","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","291","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","6","57","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","-12","55","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","328","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","3","4","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","56","21","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","339","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","2","39","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","70","26","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","342","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","2","3","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","47","66","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","346","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","1","37","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","39","32","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","375","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","11","44","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","24","42","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","376","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","11","42","Missed Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","387","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","10","42","Made Shot","Slam Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","400","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","9","52","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","412","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","8","55","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-1","72","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","432","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","7","13","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","459","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","5","7","Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","8","-88","9","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","471","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","4","10","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","24","66","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","475","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","3","57","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","47","108","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","509","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","1","51","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-1","78","1","0","20001105","LAL","LAC"
"Shot Chart Detail","0020000049","511","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","1","47","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001105","LAL","LAC"
"Shot Chart Detail","0020000058","5","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","11","22","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","30","76","1","1","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","11","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","10","41","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","79","42","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","66","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","4","9","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","7","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","80","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","1","1","47","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-27","70","1","1","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","104","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","10","42","Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","135","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","7","23","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-56","42","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","137","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","7","13","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-63","63","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","154","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","5","48","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","157","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","2","5","7","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-113","-8","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","255","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","5","31","Missed Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","7","76","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","258","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","4","47","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-71","7","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","274","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","3","3","12","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","317","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","11","38","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-56","70","1","0","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","320","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","11","4","Made Shot","Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","335","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","9","2","Made Shot","Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-12","42","1","1","20001107","HOU","LAL"
"Shot Chart Detail","0020000058","347","406","Shaquille O'Neal","1610612747","Los Angeles Lakers","4","7","24","Made Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","0","1","1","20001107","HOU","LAL"
