"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021500447","359","204067","Jarell Eddie","1610612764","Washington Wizards","3","0","0","Missed Shot","Jump Shot","3PT Field Goal","Backcourt","Back Court(BC)","Back Court Shot","71","155","702","1","0","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","381","204067","Jarell Eddie","1610612764","Washington Wizards","4","10","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","24","79","237","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","402","204067","Jarell Eddie","1610612764","Washington Wizards","4","8","29","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","236","0","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","408","204067","Jarell Eddie","1610612764","Washington Wizards","4","7","48","Missed Shot","Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-24","41","1","0","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","448","204067","Jarell Eddie","1610612764","Washington Wizards","4","5","1","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-210","124","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","452","204067","Jarell Eddie","1610612764","Washington Wizards","4","4","10","Made Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","-19","1","1","20151226","BKN","WAS"
"Shot Chart Detail","0021500447","504","204067","Jarell Eddie","1610612764","Washington Wizards","4","0","24","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","32","183","1","0","20151226","BKN","WAS"
"Shot Chart Detail","0021500461","93","204067","Jarell Eddie","1610612764","Washington Wizards","1","3","6","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-191","200","1","1","20151228","WAS","LAC"
"Shot Chart Detail","0021500461","161","204067","Jarell Eddie","1610612764","Washington Wizards","2","11","9","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","29","195","223","1","0","20151228","WAS","LAC"
"Shot Chart Detail","0021500461","290","204067","Jarell Eddie","1610612764","Washington Wizards","2","0","0","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-232","144","1","1","20151228","WAS","LAC"
"Shot Chart Detail","0021500461","413","204067","Jarell Eddie","1610612764","Washington Wizards","4","11","40","Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","16","1","0","20151228","WAS","LAC"
